trial_id,trial_name,min_age,max_age,condition,required_marker,description
NCT944508,Clinical Trial for Type 2 Diabetes Phase 3,26,58,Type 2 Diabetes,None,This is an automated generated trial for evaluating treatments related to Type 2 Diabetes.
NCT357468,Clinical Trial for Crohn's Disease Phase 1,37,70,Crohn's Disease,KRAS Mutation,This is an automated generated trial for evaluating treatments related to Crohn's Disease.
NCT889725,Clinical Trial for COPD Phase 4,21,87,COPD,BRCA1,This is an automated generated trial for evaluating treatments related to COPD.
NCT498443,Clinical Trial for Non-small cell lung cancer Phase 4,19,61,Non-small cell lung cancer,BRCA1,This is an automated generated trial for evaluating treatments related to Non-small cell lung cancer.
NCT144255,Clinical Trial for Hypertension Phase 2,29,64,Hypertension,HLA-DRB1*15:01,This is an automated generated trial for evaluating treatments related to Hypertension.
NCT528160,Clinical Trial for Crohn's Disease Phase 4,33,83,Crohn's Disease,KRAS Mutation,This is an automated generated trial for evaluating treatments related to Crohn's Disease.
NCT218105,Clinical Trial for Type 2 Diabetes Phase 4,35,59,Type 2 Diabetes,BRCA1,This is an automated generated trial for evaluating treatments related to Type 2 Diabetes.
NCT281824,Clinical Trial for Multiple Sclerosis Phase 2,34,73,Multiple Sclerosis,BRCA1,This is an automated generated trial for evaluating treatments related to Multiple Sclerosis.
NCT676459,Clinical Trial for Alzheimer's Disease Phase 1,27,83,Alzheimer's Disease,Anti-CCP Positive,This is an automated generated trial for evaluating treatments related to Alzheimer's Disease.
NCT911431,Clinical Trial for Non-small cell lung cancer Phase 4,24,87,Non-small cell lung cancer,KRAS Mutation,This is an automated generated trial for evaluating treatments related to Non-small cell lung cancer.
NCT515032,Clinical Trial for Hypertension Phase 4,26,65,Hypertension,KRAS Mutation,This is an automated generated trial for evaluating treatments related to Hypertension.
NCT118907,Clinical Trial for Hypertension Phase 2,26,73,Hypertension,NOD2 Variant,This is an automated generated trial for evaluating treatments related to Hypertension.
NCT355785,Clinical Trial for Rheumatoid Arthritis Phase 1,39,59,Rheumatoid Arthritis,BRCA1,This is an automated generated trial for evaluating treatments related to Rheumatoid Arthritis.
NCT201973,Clinical Trial for Hypertension Phase 1,38,83,Hypertension,APOE-e4,This is an automated generated trial for evaluating treatments related to Hypertension.
